name,title,coauthors,pub_year,citation
soobin Jeon (전수빈),Smart parking system for Internet of Things,", Chungsan Lee and Youngtak Han and Soobin Jeon and Dongmahn Seo and Inbum Jung",2016,"2016 IEEE International Conference on Consumer Electronics (ICCE), 263-264, 2016"
soobin Jeon (전수빈),Variable speed limit to improve safety near traffic congestion on urban freeways,", Youngtae Jo and Hyungdo Choi and Soobin Jeon and Inbum Jung",2012,"2012 IEEE International Conference on Information Science and Technology, 43-50, 2012"
soobin Jeon (전수빈),MinT: Middleware for cooperative interaction of things,", Soobin Jeon and Inbum Jung",2017,"Sensors 17 (6), 1452, 2017"
soobin Jeon (전수빈),Traffic measurement on multiple drive lanes with wireless ultrasonic sensors,", Soobin Jeon and Eil Kwon and Inbum Jung",2014,"Sensors 14 (12), 22891-22906, 2014"
soobin Jeon (전수빈),Smart parking system using ultrasonic sensor and bluetooth communication in internet of things,", Chungsan Lee and Youngtak Han and Soobin Jeon and Dongmahn Seo and Inbum Jung",2016,"KIISE transactions on computing practices 22 (6), 268-277, 2016"
soobin Jeon (전수빈),Experimental evaluation of improved IoT middleware for flexible performance and efficient connectivity,", Soobin Jeon and Inbum Jung",2018,"Ad Hoc Networks 70, 61-72, 2018"
soobin Jeon (전수빈),IoT Middleware for Effective Operation in Heterogeneous Things,", Soobin Jeon and Youngtak Han and Chungshan Lee and Dongmahn Seo and Inbum Jung",2017,"KIISE Transactions on Computing Practices 23 (9), 517-534, 2017"
soobin Jeon (전수빈),Implementation of English E-Learning System Based on. Net Framework,", Soobin Jeon and Yongtae Jo and Daeho Kim and Kangsik Kim and Dongmahn Seo and Inbum Jung",2011,"2011 IEEE International Conference on Consumer Electronics (ICCE), 883-884, 2011"
soobin Jeon (전수빈),The smart shoes providing the gait information on IoT,", Soobin Jeon and Chungsan Lee and Youngtak Han and Dongmahn Seo and Inbum Jung",2017,"2017 IEEE International Conference on Consumer Electronics (ICCE), 108-109, 2017"
soobin Jeon (전수빈),Automatic reading analog gauge with handheld device,", DongWook Lee and SeokJin Kim and YunSung Han and SungWon Lee and SooBin Jeon and Dongmahn Seo",2020,"2020 IEEE International Conference on Consumer Electronics (ICCE), 1-3, 2020"
soobin Jeon (전수빈),Smart umbrella for safety directions on Internet of Things,", Youngtak Han and Chungsan Lee and Youjin Kim and Soobin Jeon and Dongmahn Seo and Inbum Jung",2017,"2017 IEEE International Conference on Consumer Electronics (ICCE), 84-85, 2017"
soobin Jeon (전수빈),Estimation of Winter Snow Operation Performance Measures with Traffic Data,", Eil Kwon and Seongah Hong and Soobok Kim and Soobin Jeon",2012,"Minnesota Department of Transportation, 2012"
soobin Jeon (전수빈),The multi-station based variable speed limit model for realization on urban highway,", Soobin Jeon and Chongmyung Park and Dongmahn Seo",2020,"Electronics 9 (5), 801, 2020"
soobin Jeon (전수빈),Smart parking system based on an ultrasonic sensor and bluetooth low energy in the internet of things,", Soobin Jeon and Dongmahn Seo",2019,"J. Syst. Manag. Sci 9, 91-110, 2019"
soobin Jeon (전수빈),Calibration for Simulating a ITS Algorithm in Korea Highway,", Se-Jeong Shin and Chung-San Lee and Young-Tak Han and Soo-Bin Jeon and Dong-Mahn Seo and In-Bum Jung",2016,"Proceedings of the Korea Information Processing Society Conference, 443-446, 2016"
soobin Jeon (전수빈),Improved Real-Time Variable Speed Limits for a Stable Controlling of the Freeway,", Soobin Jeon and Young Tak Han and Dong Mahn Seo and Inbum Jung",2016,"KIISE Transactions on Computing Practices 22 (9), 405-418, 2016"
soobin Jeon (전수빈),IoT 환경에서 화분을 관리하기 위한 인터넷 가든 시스템,", 한영탁， 전수빈， 이충산， 정인범",2015,"한국정보과학회 학술발표논문집, 463-465, 2015"
soobin Jeon (전수빈),Traffic Analysis and Simulation System for Korea Highway,", Young-Tak Han and Chung-san Lee and Se-Jeong Shin and Soo-bin Jeon and Dong-Man Seo and In-bum Jung",2016,"Proceedings of the Korea Information Processing Society Conference, 447-450, 2016"
soobin Jeon (전수빈),Density-Based Ramp Metering Method Considering Traffic of Freeway and Ramp on ITS,", Soobin Jeon and Inbum Jung",2015,"KIISE Transactions on Computing Practices 21 (3), 223-238, 2015"
soobin Jeon (전수빈),Cluster Property based Data Transfer for Efficient Energy Consumption in IoT,", Chungsan Lee and Soobin Jeon and Inbum Jung",2017,"Journal of KIISE 44 (9), 966-975, 2017"
soobin Jeon (전수빈),Coordinated ramp metering for minimum waiting time and limited ramp storage,", Soobin Jeon and Inbum Jung",2016,"IEICE Transactions on Fundamentals of Electronics, Communications and …, 2016"
soobin Jeon (전수빈),사물 인터넷에서의 디바이스 개발을 위한 통합 플랫폼,", 이충산， 전수빈， 한영탁， 정인범",2015,"한국정보과학회 학술발표논문집, 471-473, 2015"
soobin Jeon (전수빈),지능형 교통시스템에서 도시 고속도로와 램프의 교통량을 고려한 밀도 기반 램프 미터링 방법,", 전수빈， 정인범",2015,"정보과학회 컴퓨팅의 실제 논문지 21 (3), 223-238, 2015"
soobin Jeon (전수빈),영상 내 화장품명 인식 연구,", 김수종， 권혁규， 전민건， 서동만， 전수빈",2022,"한국정보과학회 학술발표논문집, 161-163, 2022"
