검색된 작가,제목,저자,발행년도,학회
박성주,자율주행 이동체 분석을 위한 시각화 기능 구현,"박 성 주,  김 재 훈,   서 동 만,   전 수 빈",2022,"한국정보과학회 학술발표논문집, 1814-1816, 2022"
박성주,GPS 및 라이다 데이터 재현 도구 설계 및 구현,"박 성 주,   박 보 은,   조 혜 원,   박 준 홍,   서 동 만,   전 수 빈",2022,"한국정보과학회 학술발표논문집, 1471-1473, 2022"
박보은,실시간 광고 제공을 위한 디지털 사이니지 데이터 동기화 시스템,"박 보 은,   김 경 연,   이 예 지,   전 수 빈,   서 동 만",2022,"한국정보과학회 학술발표논문집, 1397-1399, 2022"
박보은,GPS 및 라이다 데이터 재현 도구 설계 및 구현,"박 성 주,   박 보 은,   조 혜 원,   박 준 홍,   서 동 만,   전 수 빈",2022,"한국정보과학회 학술발표논문집, 1471-1473, 2022"
박보은,스마트 쉘터 기반 사이니지 콘텐츠 관리 시스템 설계 및 구현,"이 예 지,   김 보 경,   박 보 은,   전 수 빈,   서 동 만",2022,"한국정보과학회 학술발표논문집, 1391-1393, 2022"
김보경,콘텐츠 제공을 위한 디지털 사이니지 갤러리 시스템 설계 및 구현,"이 예 지,   김 보 경,   이 동 욱,   전 수 빈,   서 동 만",2022,"한국정보과학회 학술발표논문집, 1817-1819, 2022"
김보경,콘텐츠 제공을 위한 디지털 사이니지 시스템 연구,"김 보 경,   이 동 욱,   전 수 빈,   서 동 만",2021,"한국정보과학회 학술발표논문집, 1276-1278, 2021"
김보경,지역 환경정보 제공 서비스를 위한 라즈베리파이 기반 모듈형 시스템 구현,"김 보 경,   전 민 건,   김 수 종,   전 수 빈,   서 동 만",2022,"한국정보과학회 학술발표논문집, 1388-1390, 2022"
김보경,스마트 쉘터 기반 사이니지 콘텐츠 관리 시스템 설계 및 구현,"이 예 지,   김 보 경,   박 보 은,   전 수 빈,   서 동 만",2022,"한국정보과학회 학술발표논문집, 1391-1393, 2022"
김보경,지역 소통을 위한 디지털 사이니지 기반 커뮤니티 시스템 설계 및 구현,"김 보 경,   이 예 지,   이 동 욱,   전 수 빈,   서 동 만",2022,"한국정보과학회 학술발표논문집, 1806-1808, 2022"
